ham,exact_eig,num_system_qubits,num_ancilla,alpha,replication_seed,n_circuits,n_shots,time,segments,most_likely_bs,est_energy_med,est_energy_mean,est_energy_std,estimation_error,max_theoretical_qdrift_error,peak_MB,runtime,counts
1 qubit test,0.8385164807134509,1,13,1.0,42,1,1,0.543209090108711,1,0011100000100,2.5358830929092653,2.5358830929092653,0.0,1.6973666121958144,3.219752174868065,521.23046875,40.920055599999955,"{""0011100000100"": 1}"
1 qubit test,0.8385164807134509,1,13,1.0,42,1,10,0.543209090108711,1,0001001010010,0.8387052100156479,0.8387052100156479,0.0,0.00018872930219704376,3.219752174868065,533.4921875,43.043639600000006,"{""0001001010010"": 1}"
1 qubit test,0.8385164807134509,1,13,1.0,42,1,100,0.543209090108711,1,0001001100001,0.8598846345109925,0.8598846345109925,0.0,0.021368153797541645,3.219752174868065,547.5546875,47.12688119999996,"{""0001001100001"": 1}"
1 qubit test,0.8385164807134509,1,13,1.0,42,10,1,0.543209090108711,1,0001001001101,0.6551501977226609,0.45465164583339834,0.7145025334041128,0.18336628299078994,3.219752174868065,1723.85546875,218.19763940000007,"{""0000000111010"": 1, ""0000010111010"": 1, ""0000100101100"": 1, ""0000110010001"": 1, ""0001000001111"": 1, ""0001001001101"": 1, ""0001010001011"": 1, ""0001010111101"": 1, ""0001101000111"": 1, ""1101111111000"": 1}"
1 qubit test,0.8385164807134509,1,13,1.0,42,1,1,0.47314883957009635,1,0001000010010,0.8591480624977245,0.8591480624977245,0.0,0.0206315817842736,2.4378087708965053,1412.87109375,19.300113099999862,"{""0001000010010"": 1}"
1 qubit test,0.8385164807134509,1,13,1.0,42,10,10,0.543209090108711,1,0000111100010,0.9304827161621414,0.9542036715969273,0.17206454358117892,0.09196623544869054,3.219752174868065,1721.58984375,240.80890780000004,"{""0000111100010"": 1, ""0001001011110"": 1, ""0001001100000"": 1, ""0001001110100"": 1, ""0001010000011"": 1, ""0001010100011"": 1, ""0001010110000"": 1, ""0001010110111"": 1, ""0001011110011"": 1, ""0001111010010"": 1}"
1 qubit test,0.8385164807134509,1,13,1.0,42,1,10,0.47314883957009635,1,0001000011110,0.878600471459937,0.878600471459937,0.0,0.040083990746486164,2.4378087708965053,1432.0625,35.3239173999998,"{""0001000011110"": 1}"
1 qubit test,0.8385164807134509,1,13,1.0,42,1,100,0.47314883957009635,1,0001000000110,0.8396956535355118,0.8396956535355118,0.0,0.0011791728220609254,2.4378087708965053,1477.98046875,53.72696329999985,"{""0001000000110"": 1}"
1 qubit test,0.8385164807134509,1,13,1.0,42,10,1,0.47314883957009635,1,0001111011001,1.0107147489949644,0.9207473575447311,1.2504688836059785,0.17219826828151352,2.4378087708965053,1752.515625,236.71981779999987,"{""0000111110111"": 1, ""0001000010110"": 1, ""0001000011001"": 1, ""0001000111111"": 1, ""0001010100000"": 1, ""0001010100010"": 1, ""0001011011001"": 1, ""0001111011001"": 1, ""0011101100110"": 1, ""1101001110001"": 1}"
1 qubit test,0.8385164807134509,1,13,1.0,42,10,10,0.47314883957009635,1,0001000010110,0.9888307889124752,1.0457290851269472,0.16382143466594587,0.15031430819902436,2.4378087708965053,1813.921875,279.8012377,"{""0001000010110"": 1, ""0001000100010"": 1, ""0001000101100"": 1, ""0001000101111"": 1, ""0001000110100"": 1, ""0001010010000"": 1, ""0001011001000"": 1, ""0001011011011"": 1, ""0001100010010"": 1, ""0001100100111"": 1}"
