ham,num_system_qubits,num_ancilla,time,segments,replication_seed,n_circuits,n_shots,depth,size,peak_MB,runtime,exact_eig,most_likely_bs,est_energy_med,est_energy_mean,est_energy_std,est_energy_min,est_energy_max,estimation_error,alpha,counts
ising,2,13,0.0001,1,42,1,1,32475,33953,418.796875,17.081851499999175,3.1240998703626586,0000000000000,0.0,0.0,0,0.0,0.0,3.1240998703626586,4.4,"{""0000000000000"": 1}"
ising,2,13,0.1316736842105263,1,42,1,1,32475,33953,426.203125,17.358525250005187,3.1240998703626586,0111001110110,21.563902122132113,21.563902122132113,0,21.563902122132113,21.563902122132113,18.439802251769454,4.4,"{""0111001110110"": 1}"
ising,2,13,0.2632473684210526,1,42,1,1,32475,33953,413.859375,17.68533683300484,3.1240998703626586,0011001110110,4.81904954716338,4.81904954716338,0,4.81904954716338,4.81904954716338,1.6949496768007215,4.4,"{""0011001110110"": 1}"
ising,2,13,0.39482105263157896,1,42,1,1,32475,33953,460.28125,16.835962583005312,3.1240998703626586,0010001110100,2.2145958106006045,2.2145958106006045,0,2.2145958106006045,2.2145958106006045,0.9095040597620541,4.4,"{""0010001110100"": 1}"
ising,2,13,0.0014587489859907092,1,42,1,1,32475,33953,442.71875,17.46217899999465,3.1240998703626586,0000000000110,3.1547184662010337,3.1547184662010337,0,3.1547184662010337,3.1547184662010337,0.030618595838375118,4.4,"{""0000000000110"": 1}"
ising,2,13,0.007262776211003177,1,42,1,1,32475,33953,441.75,17.547408583006472,3.1240998703626586,0000000011110,3.1681702905047078,3.1681702905047078,0,3.1681702905047078,3.1681702905047078,0.044070420142049205,4.4,"{""0000000011110"": 1}"
ising,2,13,0.010848837051677003,1,42,1,1,32475,33953,440.265625,17.55490841700521,3.1240998703626586,0000000110100,3.6762927026230448,3.6762927026230448,0,3.6762927026230448,3.6762927026230448,0.5521928322603862,4.4,"{""0000000110100"": 1}"
ising,2,13,0.0032549297124943137,1,42,1,1,32475,33953,438.125,17.77330999998958,3.1240998703626586,0000000001110,3.2989546514572385,3.2989546514572385,0,3.2989546514572385,3.2989546514572385,0.17485478109457997,4.4,"{""0000000001110"": 1}"
ising,2,13,0.016205547569471748,1,42,1,1,32475,33953,429.03125,17.773637541991775,3.1240998703626586,0000000110100,2.4611016884217976,2.4611016884217976,0,2.4611016884217976,2.4611016884217976,0.662998181940861,4.4,"{""0000000110100"": 1}"
ising,2,13,0.004862080427593842,1,42,1,1,32475,33953,429.84375,17.819538083989755,3.1240998703626586,0000000010100,3.1549885089926026,3.1549885089926026,0,3.1549885089926026,3.1549885089926026,0.030888638629944065,4.4,"{""0000000010100"": 1}"
ising,2,13,0.0021790193706280165,1,42,1,1,32475,33953,434.328125,18.1244086670049,3.1240998703626586,0000000001001,3.167899119453854,3.167899119453854,0,3.167899119453854,3.167899119453854,0.04379924909119559,4.4,"{""0000000001001"": 1}"
ising,2,13,0.0009765625,1,42,1,1,32475,33953,427.03125,18.330309750002925,3.1240998703626586,0000000000100,3.141592653589793,3.141592653589793,0,3.141592653589793,3.141592653589793,0.017492783227134545,4.4,"{""0000000000100"": 1}"
ising,2,13,0.054013868330100356,1,42,1,1,32475,33953,463.953125,18.867247250003857,3.1240998703626586,0010001111110,16.329860835808883,16.329860835808883,0,16.329860835808883,16.329860835808883,13.205760965446224,4.4,"{""0010001111110"": 1}"
ising,2,13,0.0242071819104165,1,42,1,1,32475,33953,469.515625,19.055026499991072,3.1240998703626586,0000001100110,3.231810314463062,3.231810314463062,0,3.231810314463062,3.231810314463062,0.10771044410040354,4.4,"{""0000001100110"": 1}"
ising,2,13,0.0806836998717128,1,42,1,1,32475,33953,481.125,18.878333790999022,3.1240998703626586,1111000100110,-4.505909462592165,-4.505909462592165,0,-4.505909462592165,-4.505909462592165,7.630009332954824,4.4,"{""1111000100110"": 1}"
ising,2,13,0.036159694915085014,1,42,1,1,32475,33953,464.5,19.119737166998675,3.1240998703626586,0000001110100,2.4604987930982385,2.4604987930982385,0,2.4604987930982385,2.4604987930982385,0.6636010772644201,4.4,"{""0000001110100"": 1}"
ising,2,13,0.18003081719234498,1,42,1,1,32475,33953,484.78125,19.078084499997203,3.1240998703626586,0011001101110,7.0125004603021015,7.0125004603021015,0,7.0125004603021015,7.0125004603021015,3.888400589939443,4.4,"{""0011001101110"": 1}"
ising,2,13,0.12052199974281191,1,42,1,1,32475,33953,485.140625,19.2884955000045,3.1240998703626586,1111000110110,-2.9146678712220977,-2.9146678712220977,0,-2.9146678712220977,-2.9146678712220977,6.038767741584756,4.4,"{""1111000110110"": 1}"
ising,2,13,0.2689226465550455,1,42,1,1,32475,33953,480.828125,19.35564241600514,3.1240998703626586,0011010110100,4.894178801473597,4.894178801473597,0,4.894178801473597,4.894178801473597,1.7700789311109384,4.4,"{""0011010110100"": 1}"
ising,2,13,0.4017056132834412,1,42,1,1,32475,33953,482.984375,19.27103604101285,3.1240998703626586,0011001100110,3.1274899422226414,3.1274899422226414,0,3.1274899422226414,3.1274899422226414,0.003390071859982857,4.4,"{""0011001100110"": 1}"
ising,2,13,1.3389041012244733,1,42,1,1,32475,33953,466.375,16.200865834005526,3.1240998703626586,1111001110111,-0.22512980918040587,-0.22512980918040587,0,-0.22512980918040587,-0.22512980918040587,3.3492296795430643,4.4,"{""1111001110111"": 1}"
ising,2,13,0.6000513597890517,1,42,1,1,32475,33953,476.109375,16.582948625000427,3.1240998703626586,0111000110110,4.650120373270909,4.650120373270909,0,4.650120373270909,4.650120373270909,1.52602050290825,4.4,"{""0111000110110"": 1}"
ising,2,13,2.0,1,42,1,1,32475,33953,473.15625,16.176323374995263,3.1240998703626586,0111001100110,1.4135632960366182,1.4135632960366182,0,1.4135632960366182,1.4135632960366182,1.7105365743260403,4.4,"{""0111001100110"": 1}"
ising,2,13,0.8963320961378564,1,42,1,1,32475,33953,469.953125,16.780221709006582,3.1240998703626586,0011001110100,1.413614592463131,1.413614592463131,0,1.413614592463131,1.413614592463131,1.7104852778995276,4.4,"{""0011001110100"": 1}"
ising,2,14,0.0009765625,1,42,1,1,65010,67853,629.734375,45.40808449999895,3.1240998703626586,00000000001000,3.141592653589793,3.141592653589793,0,3.141592653589793,3.141592653589793,0.017492783227134545,4.4,"{""00000000001000"": 1}"
ising,2,14,0.0021790193706280165,1,42,1,1,65010,67853,621.96875,45.064622667006915,3.1240998703626586,00000000010010,3.167899119453854,3.167899119453854,0,3.167899119453854,3.167899119453854,0.04379924909119559,4.4,"{""00000000010010"": 1}"
ising,2,14,0.0032549297124943137,1,42,1,1,65010,67853,632.390625,45.269090124988,3.1240998703626586,11111111100110,-3.0633150334960075,-3.0633150334960075,0,-3.0633150334960075,-3.0633150334960075,6.1874149038586665,4.4,"{""11111111100110"": 1}"
ising,2,14,0.0014587489859907092,1,42,1,1,65010,67853,624.609375,45.68279254199297,3.1240998703626586,00000000001100,3.1547184662010337,3.1547184662010337,0,3.1547184662010337,3.1547184662010337,0.030618595838375118,4.4,"{""00000000001100"": 1}"
ising,2,14,0.004862080427593842,1,42,1,1,65010,67853,750.71875,48.18631124999956,3.1240998703626586,00000000101000,3.1549885089926026,3.1549885089926026,0,3.1549885089926026,3.1549885089926026,0.030888638629944065,4.4,"{""00000000101000"": 1}"
