ham,num_system_qubits,num_ancilla,time,segments,replication_seed,n_circuits,n_shots,peak_MB,runtime,exact_eig,most_likely_bs,est_energy_med,est_energy_mean,est_energy_std,est_energy_min,est_energy_max,estimation_error,alpha,max_theoretical_qdrift_error,counts
H_many_diag_terms_3,2,14,0.07071097101187357,1,42,100,1,1040.875,4030.2523330420954,3.0666666666666664,00001000110101,3.0642315214772466,3.066780528229626,0.008354227220109018,3.0208441725005777,3.1130422890759992,0.002435145189419785,3.0666666666666664,2.0521109308714873,"{""00001000101101"": 1, ""00001000110001"": 1, ""00001000110011"": 1, ""00001000110100"": 3, ""00001000110101"": 49, ""00001000110110"": 36, ""00001000110111"": 7, ""00001000111010"": 1, ""00001000111110"": 1}"
H_many_diag_terms_3,2,14,0.0891007614123126,1,42,100,1,1125.984375,4133.59137874993,3.0666666666666664,00001011001001,3.0644921088846306,3.0659985305673687,0.004511028275001638,3.0515799230325884,3.081708356687353,0.002174557782035791,3.0666666666666664,2.894541848529538,"{""00001011000101"": 3, ""00001011000110"": 2, ""00001011000111"": 7, ""00001011001000"": 41, ""00001011001001"": 42, ""00001011001010"": 3, ""00001011001011"": 1, ""00001011001100"": 1}"
H_many_diag_terms_3,2,14,0.09876884637117318,1,42,100,1,1124.09375,4134.152746208943,3.0666666666666664,00001100010110,3.0673761690896577,3.0686574781223155,0.012166903286756061,3.0596106598008226,3.1877415630665933,0.0007095024229912816,3.0666666666666664,3.4046385627491476,"{""00001100010100"": 1, ""00001100010101"": 3, ""00001100010110"": 91, ""00001100010111"": 2, ""00001100011000"": 1, ""00001100011001"": 1, ""00001100110101"": 1}"
H_many_diag_terms_3,2,14,0.04539959598345495,1,42,100,1,980.640625,4662.58366975002,3.0666666666666664,00000101101011,3.066299456747457,3.066299456747457,0.0,3.066299456747457,3.066299456747457,0.00036720991920935475,3.0666666666666664,1.1280927260943205,"{""00000101101011"": 100}"
H_many_diag_terms_3,2,14,0.015644290069558055,1,42,100,1,1033.21875,4879.078622458968,3.0666666666666664,00000001111101,3.0641786497366117,3.0649140526125485,0.007354028759367859,3.0641786497366117,3.1377189373302903,0.0024880169300547372,3.0666666666666664,0.32388457933991605,"{""00000001111101"": 99, ""00000010000000"": 1}"
H_many_diag_terms_0.5,2,14,0.09876884637117318,1,42,100,1024,1052.6875,10712.152082792018,0.5,00000010000001,0.5008753491298301,0.5008753491298301,0.0,0.5008753491298301,0.5008753491298301,0.0008753491298301164,0.5,0.05451107547302348,"{""00000010000001"": 100}"
H_many_diag_terms_3,2,14,0.0891007614123126,1,42,100,1024,1060.75,12725.570463540964,3.0666666666666664,00001011001001,3.068796170835311,3.067289749152573,0.002063248874790166,3.0644921088846306,3.068796170835311,0.002129504168644658,3.0666666666666664,2.894541848529538,"{""00001011001000"": 35, ""00001011001001"": 65}"
H_many_diag_terms_3,2,14,0.015644290069558055,1,42,100,1024,1023.921875,13524.873815875035,3.0666666666666664,00000001111101,3.0641786497366117,3.0641786497366117,0.0,3.0641786497366117,3.0641786497366117,0.0024880169300547372,3.0666666666666664,0.32388457933991605,"{""00000001111101"": 100}"
H_many_diag_terms_3,2,14,0.04539959598345495,1,42,100,1024,1050.390625,13526.062237874954,3.0666666666666664,00000101101011,3.066299456747457,3.066299456747457,0.0,3.066299456747457,3.066299456747457,0.00036720991920935475,3.0666666666666664,1.1280927260943205,"{""00000101101011"": 100}"
H_many_diag_terms_3,2,14,0.07071097101187357,1,42,100,1024,1003.125,13552.186037875013,3.0666666666666664,00001000110101,3.0642315214772466,3.0642315214772466,0.0,3.0642315214772466,3.0642315214772466,0.002435145189419785,3.0666666666666664,2.0521109308714873,"{""00001000110101"": 100}"
H_many_diag_terms_3,2,14,0.09876884637117318,1,42,100,1024,1035.078125,13591.47247716703,3.0666666666666664,00001100010110,3.0673761690896577,3.0673761690896577,0.0,3.0673761690896577,3.0673761690896577,0.0007095024229912816,3.0666666666666664,3.4046385627491476,"{""00001100010110"": 100}"
H_many_diag_terms_0.5,2,14,0.0891007614123126,1,42,100,1024,1008.1875,11889.5812269171,0.5,00000001110100,0.4992711862789566,0.4992711862789566,0.0,0.4992711862789566,0.4992711862789566,0.0007288137210433865,0.5,0.04870206642364421,"{""00000001110100"": 100}"
H_many_diag_terms_0.5,2,14,0.07071097101187357,1,42,100,1024,1144.203125,11438.990306416992,0.5,00000001011100,0.4989545132316932,0.4989545132316932,0.0,0.4989545132316932,0.4989545132316932,0.0010454867683067914,0.5,0.037946016386799605,"{""00000001011100"": 100}"
H_many_diag_terms_0.5,2,14,0.04539959598345495,1,42,100,1024,1200.328125,13553.732657958986,0.5,00000000111011,0.4983792505457299,0.4983792505457299,0.0,0.4983792505457299,0.4983792505457299,0.0016207494542700984,0.5,0.023754111264859427,"{""00000000111011"": 100}"
H_many_diag_terms_0.5,2,14,0.015644290069558055,1,42,100,1024,1203.375,13681.315348292002,0.5,00000000010100,0.4902685839578579,0.4902685839578579,0.0,0.4902685839578579,0.4902685839578579,0.009731416042142116,0.5,0.007945479162676966,"{""00000000010100"": 100}"
