Num Qubits,Time,Shots,Num Ancilla,Exact Eigenvalue,Expected Phase,Most Probable Bitstring,Estimated Phase,Estimated Eigenvalue,Eigenvalue Error,Alpha,QDRIFT Implementation
2,0.75,1000,5,(2.4+0j),0.28647889756541156,10000,0.5,4.1887902047863905,1.7887902047863906,4.4,exponential invocations of qdrift channel
2,0.013,1000,5,(2.4+0j),0.004965634224467134,00000,0.0,0.0,2.4,4.4,exponential invocations of qdrift channel
2,0.13,1000,5,(2.4+0j),0.049656342244671345,00010,0.0625,3.0207621669132627,0.6207621669132628,4.4,exponential invocations of qdrift channel
2,0.44,1000,5,(2.4+0j),0.1680676199050415,01100,0.375,5.354987477709875,2.954987477709875,4.4,exponential invocations of qdrift channel
2,0.76,1000,5,(2.4+0j),0.29029861619961705,10001,0.53125,4.392029203209415,1.9920292032094147,4.4,exponential invocations of qdrift channel
2,0.018000000000000002,1000,5,(2.4+0j),0.006875493541569879,00000,0.0,0.0,2.4,4.4,exponential invocations of qdrift channel
2,0.45,1000,5,(2.4+0j),0.17188733853924698,01101,0.40625,5.672320068981572,3.2723200689815717,4.4,exponential invocations of qdrift channel
2,0.14,1000,5,(2.4+0j),0.05347606087887684,00010,0.0625,2.804993440705172,0.40499344070517207,4.4,exponential invocations of qdrift channel
2,0.77,1000,5,(2.4+0j),0.29411833483382255,10001,0.53125,4.334989862907994,1.9349898629079942,4.4,exponential invocations of qdrift channel
2,0.023,1000,5,(2.4+0j),0.008785352858672622,00000,0.0,0.0,2.4,4.4,exponential invocations of qdrift channel
2,0.15,1000,5,(2.4+0j),0.05729577951308232,00010,0.0625,2.6179938779914944,0.2179938779914945,4.4,exponential invocations of qdrift channel
2,0.46,1000,5,(2.4+0j),0.17570705717345247,01011,0.34375,4.695315107267353,2.295315107267353,4.4,exponential invocations of qdrift channel
2,0.16,1000,5,(2.4+0j),0.06111549814728781,00011,0.09375,3.6815538909255388,1.2815538909255388,4.4,exponential invocations of qdrift channel
2,0.78,1000,5,(2.4+0j),0.29793805346802804,10001,0.53125,4.279413069793788,1.8794130697937885,4.4,exponential invocations of qdrift channel
2,0.47000000000000003,1000,5,(2.4+0j),0.17952677580765797,01011,0.34375,4.595414785836133,2.195414785836133,4.4,exponential invocations of qdrift channel
2,0.028000000000000004,1000,5,(2.4+0j),0.010695212175775369,00000,0.0,0.0,2.4,4.4,exponential invocations of qdrift channel
2,0.033,1000,5,(2.4+0j),0.012605071492878112,00000,0.0,0.0,2.4,4.4,exponential invocations of qdrift channel
2,0.17,1000,5,(2.4+0j),0.0649352167814933,00011,0.09375,3.464991897341683,1.0649918973416832,4.4,exponential invocations of qdrift channel
2,0.79,1000,5,(2.4+0j),0.30175777210223353,10001,0.53125,4.225243284100197,1.8252432841001967,4.4,exponential invocations of qdrift channel
2,0.48,1000,5,(2.4+0j),0.18334649444186343,01100,0.375,4.908738521234052,2.508738521234052,4.4,exponential invocations of qdrift channel
2,0.038000000000000006,1000,5,(2.4+0j),0.014514930809980857,00000,0.0,0.0,2.4,4.4,exponential invocations of qdrift channel
2,0.18,1000,5,(2.4+0j),0.06875493541569878,00010,0.0625,2.181661564992912,0.21833843500708783,4.4,exponential invocations of qdrift channel
2,0.49,1000,5,(2.4+0j),0.1871662130760689,01100,0.375,4.80856018406601,2.4085601840660105,4.4,exponential invocations of qdrift channel
2,0.8,1000,5,(2.4+0j),0.30557749073643903,10001,0.53125,4.172427743048944,1.7724277430489441,4.4,exponential invocations of qdrift channel
2,0.19,1000,5,(2.4+0j),0.07257465404990426,00001,0.03125,1.033418636049274,1.3665813639507258,4.4,exponential invocations of qdrift channel
2,0.5,1000,5,(2.4+0j),0.1909859317102744,01101,0.40625,5.105088062083414,2.7050880620834143,4.4,exponential invocations of qdrift channel
2,0.043000000000000003,1000,5,(2.4+0j),0.0164247901270836,00001,0.03125,4.566268391845629,2.166268391845629,4.4,exponential invocations of qdrift channel
2,0.81,1000,5,(2.4+0j),0.3093972093706445,10001,0.53125,4.120916289431055,1.7209162894310555,4.4,exponential invocations of qdrift channel
2,0.2,1000,5,(2.4+0j),0.07639437268410976,00011,0.09375,2.945243112740431,0.5452431127404309,4.4,exponential invocations of qdrift channel
2,0.8200000000000001,1000,5,(2.4+0j),0.31321692800485,10001,0.53125,4.070661212730677,1.670661212730677,4.4,exponential invocations of qdrift channel
2,0.51,1000,5,(2.4+0j),0.19480565034447989,01100,0.375,4.619989196455578,2.2199891964555785,4.4,exponential invocations of qdrift channel
2,0.048,1000,5,(2.4+0j),0.018334649444186342,00001,0.03125,4.09061543436171,1.69061543436171,4.4,exponential invocations of qdrift channel
2,0.21,1000,5,(2.4+0j),0.08021409131831525,00010,0.0625,1.8699956271367817,0.5300043728632182,4.4,exponential invocations of qdrift channel
2,0.8300000000000001,1000,5,(2.4+0j),0.3170366466390555,10010,0.5625,4.258182813600623,1.858182813600623,4.4,exponential invocations of qdrift channel
