Num Qubits,Time,Shots,Num Ancilla,Exact Eigenvalue,Expected Phase,Most Probable Bitstring,Estimated Phase,Estimated Eigenvalue,Eigenvalue Error,Alpha,QDRIFT Implementation,type of Hamiltonian,Num Random Circuits,Num Shots per Circuit,Circuit Depth,qDRIFT samples per invocation of qDRIFT channelRaw results
2,0.1891331591471545,1024,8,(2.561249694973137+0j),0.07709739924770766,00010100,0.078125,2.5953875795067867,0.03413788453364974,3.5999999999999996,exponential invocations of qdrift channel,Ising,1,1024,258,1,"{'00010001': 3, '11110100': 21, '00100000': 16, '00011100': 134, '01010100': 9, '00011000': 37, '01011000': 1, '00010100': 304, '00100100': 14, '00111100': 1, '00001101': 3, '00011011': 20, '00000110': 1, '00101111': 2, '00101001': 9, '10011011': 1, '00110100': 12, '00101100': 46, '00011010': 5, '01100100': 15, '00010011': 28, '00010000': 9, '11110101': 3, '11101111': 2, '01110000': 2, '00001100': 10, '00010111': 28, '00010110': 6, '01101100': 9, '11110011': 4, '11101011': 4, '01001010': 1, '01110100': 5, '01010101': 5, '00011001': 3, '11110000': 2, '01011001': 1, '00010101': 60, '01100011': 1, '00101000': 18, '10101101': 2, '00011101': 12, '11011100': 3, '00000101': 1, '00110011': 1, '00101101': 6, '00000100': 6, '11011011': 1, '10011100': 2, '11011101': 1, '00101011': 18, '00110101': 3, '10101100': 6, '00110000': 4, '01101001': 1, '11101001': 4, '00111111': 1, '00100001': 3, '00011110': 2, '01110101': 3, '00001111': 1, '11101100': 20, '01001100': 3, '10101000': 1, '00001011': 6, '11101000': 4, '11101101': 1, '11101010': 2, '10011111': 1, '10110101': 1, '01100101': 3, '00100111': 1, '11100001': 1, '00001001': 2, '11111111': 2, '11100011': 1, '01100000': 3, '01101010': 1, '00000011': 2, '01000110': 1, '01101011': 1, '10110100': 1, '10101011': 1, '10000100': 1, '00101010': 2, '00111011': 1, '00000010': 2, '01011100': 3, '01100001': 1, '00110111': 1, '01101000': 3, '10111000': 1, '00010010': 1, '11110111': 2, '00100010': 1, '11111000': 1, '00001000': 1, '00001010': 1, '11101110': 1, '10110000': 1, '01010011': 2, '10101010': 1, '10100100': 1, '10010100': 1}"
2,0.0036105699024829526,1024,8,(2.561249694973137+0j),0.0014717966460175479,00000000,0.0,0.0,2.561249694973137,3.5999999999999996,exponential invocations of qdrift channel,Ising,1,1024,258,1,"{'11111101': 6, '00000000': 615, '00000001': 247, '11111111': 55, '00000010': 32, '11111010': 2, '00011101': 1, '11111000': 3, '11110111': 2, '11100010': 1, '00000111': 3, '11010111': 1, '11111110': 14, '11010010': 1, '00001101': 1, '00000100': 6, '00001000': 2, '11110101': 3, '00001111': 1, '00000011': 9, '00000101': 3, '00000110': 1, '11111001': 1, '11110100': 1, '00100000': 1, '11101110': 1, '11111100': 3, '01101000': 1, '11101111': 1, '00001001': 2, '00001110': 1, '11111011': 3}"
2,0.001,1024,8,(2.561249694973137+0j),0.00040763554944758394,00000000,0.0,0.0,2.561249694973137,3.5999999999999996,exponential invocations of qdrift channel,Ising,1,1024,258,1,"{'11111101': 3, '00000000': 990, '00001110': 1, '00000101': 1, '11111111': 11, '00000011': 1, '11111110': 1, '00000001': 13, '11110110': 1, '00010111': 1, '00000100': 1}"
2,0.01303621502071575,1024,10,(2.561249694973137+0j),0.005314024672686312,0000000101,0.0048828125,2.3534143698121026,0.2078353251610343,3.5999999999999996,exponential invocations of qdrift channel,Ising,1,1024,1026,1,"{'1000111011': 1, '1111011011': 3, '0000000101': 553, '0000110000': 1, '0000000111': 43, '0000110011': 1, '0000000100': 37, '0001111011': 1, '0000000001': 7, '0000000110': 211, '1111011010': 1, '0000001011': 24, '0000010011': 2, '0000011011': 6, '1111000111': 1, '0000001010': 9, '0000010001': 2, '1111011101': 1, '0000000011': 32, '0001011011': 2, '1111110000': 1, '0000001001': 14, '0000101011': 1, '0000000010': 9, '1111101111': 1, '1111111010': 2, '0100011011': 1, '0000110111': 1, '0000000000': 2, '1111111001': 1, '0000001000': 7, '0011010000': 1, '0000001111': 2, '0000111101': 1, '1111010100': 1, '0000001100': 4, '1100011010': 1, '0000001110': 1, '0000111011': 4, '1110111011': 2, '1111111110': 2, '1111101110': 1, '1111110110': 1, '1111111011': 4, '0000011010': 2, '0001011001': 1, '0000010101': 2, '0000010110': 1, '1111111111': 3, '0000010111': 3, '0001100001': 1, '0000010000': 2, '0111111011': 1, '1111110111': 1, '0000001101': 1, '1111100110': 1, '1111111101': 1, '1111101011': 1}"
2,0.6828784919782344,1024,10,(2.561249694973137+0j),0.2783655492834851,0101110100,0.36328125,3.3425615818730265,0.7813118868998896,3.5999999999999996,exponential invocations of qdrift channel,Ising,1,1024,1026,1,"{'0110010001': 4, '1010100010': 2, '0101100000': 1, '0110001011': 18, '1001101001': 1, '1001111111': 3, '1010011101': 1, '1010000111': 4, '0101110001': 14, '1010010100': 2, '1001101101': 2, '0111000000': 3, '0110000001': 8, '0101101100': 19, '0111110011': 2, '0101110100': 32, '0001010101': 1, '0001110100': 7, '1001101110': 3, '0110000000': 1, '0101101011': 17, '0110110101': 13, '1110001010': 1, '0001111001': 3, '0111101011': 6, '1100111011': 1, '0110101111': 2, '1001011010': 2, '0110000100': 16, '0101101111': 9, '0101110110': 7, '0111010011': 1, '0110111010': 13, '0110111011': 19, '0101011000': 1, '0101111011': 18, '0001011011': 1, '0101111100': 8, '1010001110': 6, '1001111000': 3, '0110000010': 21, '0001101011': 4, '0110000101': 11, '0110001110': 8, '0101100111': 6, '0101111000': 15, '0111101111': 7, '0001100011': 1, '0110000111': 8, '0101101110': 13, '1001011110': 1, '0110101011': 3, '0001000010': 2, '1010011110': 1, '1010000110': 2, '0110111110': 10, '0110111001': 14, '0101100001': 2, '0110001100': 16, '0101111001': 21, '0111011111': 1, '0110110100': 10, '0001111000': 2, '0100011001': 1, '1000100100': 1, '1010010101': 3, '0001011111': 1, '0110001000': 4, '0010000011': 1, '0101101000': 2, '0101110011': 13, '0110110010': 6, '0110111111': 9, '0110100011': 1, '1000111111': 3, '0110001111': 5, '0101100100': 3, '0101110101': 17, '0110101100': 6, '0111101110': 4, '1001111001': 3, '0111000010': 2, '1001101111': 2, '0001111100': 4, '0101000011': 2, '0110010100': 8, '0101011110': 6, '0101100110': 5, '0110001101': 7, '0101110010': 14, '0110111000': 3, '1001000001': 1, '0111111010': 2, '0110101000': 2, '1101110010': 1, '0101111010': 18, '0100001011': 2, '0001110000': 2, '0001001110': 1, '1111100111': 1, '1001110100': 8, '0110110000': 2, '0110100010': 3, '1001001111': 2, '1010000100': 4, '0110011011': 4, '0001111011': 3, '0111101000': 2, '1010000010': 2, '1110100101': 1, '1001100101': 3, '0111001010': 1, '0111110001': 1, '0100111011': 4, '1001110010': 3, '1010010000': 1, '1010001100': 6, '0000111001': 1, '0010100101': 2, '0110111100': 10, '0010111100': 1, '0101110111': 6, '0010000100': 2, '1010010001': 3, '1010001011': 4, '0100010010': 1, '0001110011': 2, '1000111110': 4, '1011000101': 1, '1101011011': 1, '0111110100': 3, '0110111101': 3, '0100111111': 2, '0101000100': 2, '1101011001': 1, '0111011101': 1, '0110110110': 4, '0111110110': 2, '0000010100': 1, '0100110101': 2, '0101011100': 2, '0010001011': 2, '1001111100': 2, '0001110101': 2, '1001110110': 2, '0110011100': 4, '0101011001': 1, '1011000010': 2, '0101101101': 5, '0110000110': 11, '0100110100': 2, '0101011011': 4, '0110010011': 1, '0101100010': 3, '1010100110': 2, '0110010101': 5, '0001101100': 1, '0001110110': 3, '0101101010': 2, '0110000011': 8, '0001111101': 2, '1010000101': 6, '1010001010': 1, '1010010010': 3, '1001101011': 7, '0110011101': 2, '0000111010': 1, '0001100101': 1, '0111101101': 6, '0101000111': 3, '0101011010': 1, '0000010110': 1, '0100111110': 2, '0110100111': 2, '1000111011': 2, '0110010111': 1, '0110011001': 6, '0111101010': 2, '0010000010': 2, '1001111101': 2, '0000111011': 1, '0011001110': 1, '0011000110': 1, '0101100101': 3, '0111011110': 3, '1110001011': 1, '0111011010': 2, '0110110011': 5, '0100111101': 3, '1111011000': 1, '1010011000': 1, '0111110010': 4, '1001111110': 1, '1001100010': 2, '0111001111': 1, '0111100100': 3, '1001001100': 1, '0111011000': 2, '0101111110': 6, '0001100010': 1, '1010111010': 1, '1000110010': 1, '1110000000': 1, '0000101101': 1, '1000111001': 1, '0101111111': 4, '0101110000': 2, '1010000001': 1, '1010011011': 1, '0111100111': 3, '1001100110': 2, '0111000111': 1, '1001101100': 3, '0101100011': 2, '0110001010': 2, '1110000001': 1, '1001111010': 2, '1011001011': 1, '0101001000': 1, '0010001100': 2, '0110011111': 1, '0000110100': 1, '1101101011': 1, '0110011010': 2, '1100001000': 1, '0111110101': 3, '1110010010': 1, '1001101000': 1, '1111100101': 1, '0001101110': 1, '0111001110': 1, '0101010001': 1, '0101011101': 1, '0100110010': 2, '1010001000': 1, '1001110001': 1, '1111100110': 1, '1001011001': 2, '1110111001': 1, '0001000101': 3, '0001011110': 1, '0101111101': 3, '0001101111': 1, '1000110100': 1, '0111101100': 3, '0100111010': 2, '0110110001': 1, '0111111100': 1, '1000001011': 1, '0111011001': 2, '1001001010': 2, '1001010110': 1, '1101111001': 1, '1001001110': 1, '0111100010': 1, '0101001011': 1, '0001100111': 1, '0100100100': 1, '0110011110': 1, '1001100011': 2, '0010010001': 1, '0111001101': 1, '1001100000': 2, '0001110001': 1, '1001110000': 1, '1001110101': 1, '1001111011': 1, '0010001111': 1, '0001110010': 1, '0100010011': 1, '1000000010': 1, '0110010010': 2, '0101000101': 1, '1101101100': 1, '1001000100': 1, '0010010011': 1, '0101000110': 1, '0010010000': 1, '0100111001': 1, '0001100100': 1, '0010000110': 2, '0001011010': 1, '0001100000': 1, '1111110010': 1, '0000110000': 1, '1110000101': 1, '0001001000': 1, '0101011111': 1, '1001110111': 1, '1001010001': 1, '0110100110': 1, '1110000100': 1, '1001110011': 1, '1110001100': 1, '0011110001': 1, '0010100011': 1, '0110010000': 1, '0111100110': 1, '0001111111': 1, '0010011101': 1, '1001101010': 1, '0100111100': 1, '1101011111': 1, '1010010011': 1}"
2,0.0036105699024829526,1024,10,(2.561249694973137+0j),0.0014717966460175479,0000000010,0.001953125,3.3988668366857833,0.8376171417126463,3.5999999999999996,exponential invocations of qdrift channel,Ising,1,1024,1026,1,"{'0000101011': 1, '0000000010': 424, '0000000111': 4, '1111111111': 21, '0000000000': 32, '0000010000': 1, '1111111000': 1, '1110110100': 1, '0000000001': 411, '0000000011': 44, '0000001110': 5, '1111111110': 12, '1111011011': 1, '0000000101': 7, '1111111011': 4, '0000000100': 14, '1111111101': 9, '1111111100': 3, '1110111010': 1, '1100110000': 1, '0000000110': 6, '0000001011': 1, '1111110101': 1, '1111101001': 1, '0000001000': 3, '1111110100': 3, '1111100101': 1, '1111101101': 1, '1111111010': 2, '1110011110': 1, '1111110111': 1, '1111100110': 1, '0000001001': 1, '1111101111': 1, '0000010010': 1, '0000001111': 1, '1111001000': 1}"
2,0.1891331591471545,1024,10,(2.561249694973137+0j),0.07709739924770766,0010000011,0.1279296875,4.249947161442363,1.6886974664692262,3.5999999999999996,exponential invocations of qdrift channel,Ising,1,1024,1026,1,"{'0000111001': 11, '1110000101': 2, '0111000101': 5, '1011110001': 1, '0101101111': 1, '0110000100': 1, '0001100001': 14, '0000000101': 21, '0001000011': 3, '0001111111': 22, '0000000011': 13, '0101110011': 6, '0000000111': 9, '1110010011': 1, '0100000110': 1, '0001111101': 5, '0001000001': 31, '1100001101': 4, '0010011111': 4, '1110011101': 1, '0001110011': 15, '0001001111': 11, '1100111111': 1, '1100000011': 1, '0010010001': 7, '0000111011': 19, '0000100101': 1, '1111111111': 14, '1110001101': 4, '0011111111': 12, '0010000011': 35, '0001000111': 1, '0001111011': 9, '0000111010': 2, '1011001010': 1, '0000001111': 17, '0001110101': 7, '1100000101': 2, '0010010111': 3, '1111100111': 1, '0010110111': 1, '0001011011': 3, '0010000101': 22, '1010000001': 4, '0100000001': 7, '1111111001': 1, '0000110111': 15, '0011000011': 4, '0000001101': 7, '0001001011': 4, '0001110111': 9, '0001010011': 1, '0010111111': 8, '0010001101': 13, '0010000001': 16, '1011111010': 1, '0101100110': 1, '0110001101': 5, '0010000110': 4, '1010001111': 1, '0001111001': 6, '1100001001': 2, '0001100101': 1, '0011111000': 1, '0101100001': 1, '1011111111': 3, '0001101111': 20, '1110001111': 4, '0110000111': 2, '0101100011': 1, '1011111101': 5, '0010010110': 1, '1100111010': 1, '0001001010': 1, '0100001111': 4, '0100010101': 1, '0000000110': 3, '1011000001': 1, '0001001101': 7, '0001110001': 10, '0011111101': 7, '0001010111': 1, '0010111011': 2, '0101111101': 8, '1011111001': 2, '0010000111': 13, '0000100011': 1, '0000111101': 18, '0100001001': 3, '0011111001': 5, '1010000111': 1, '1011101001': 1, '0010001011': 7, '0011110001': 5, '0110010111': 1, '0001111010': 2, '0100000011': 4, '0011001110': 1, '0110110111': 2, '0010011001': 1, '1101111011': 4, '0101110101': 2, '0010111110': 1, '0100001101': 4, '1001001001': 1, '0011000111': 6, '0010001111': 6, '0001001001': 10, '1011110111': 2, '0010001001': 10, '0000001011': 12, '0111110001': 5, '0110000011': 6, '1110110101': 1, '1111111101': 4, '1101110111': 3, '0001011111': 3, '0010110011': 4, '1010010111': 1, '1010001101': 1, '0000001010': 2, '1011001111': 1, '1111110010': 1, '0111110011': 2, '0001100011': 5, '1100010011': 1, '1011110011': 5, '1101101111': 1, '0111011001': 1, '0000010001': 6, '1001111101': 2, '0000000001': 3, '0011001001': 3, '0100000101': 7, '0100011111': 2, '0100000010': 1, '0001000101': 2, '1110000111': 4, '0110011111': 4, '0000110011': 3, '0000010111': 2, '0100010001': 1, '0100001011': 6, '1111011001': 1, '1101111101': 3, '0101111010': 2, '1001111111': 1, '0000010101': 1, '0010101001': 1, '0110000001': 7, '0110010001': 3, '0011110111': 4, '1010001001': 2, '0000001001': 13, '0000110101': 6, '0000100001': 2, '0000111111': 2, '0111000110': 1, '0000010011': 3, '1010000011': 4, '0110010010': 1, '1101100001': 2, '0110001001': 3, '0010000010': 2, '0000011001': 2, '0111111011': 1, '1111110011': 2, '0110101011': 1, '1101111111': 4, '0111110101': 2, '0011111011': 11, '0001100010': 2, '0011111010': 2, '0010011101': 3, '1100001111': 2, '1010010001': 1, '1010001011': 1, '0011011101': 2, '1110001001': 2, '0000000010': 1, '0011100001': 2, '0000110110': 2, '0011001111': 3, '1100001011': 3, '0000101111': 1, '0000110001': 7, '1110010010': 1, '0100000111': 1, '0001111110': 2, '0000010010': 1, '0001011001': 2, '0101101001': 1, '0100101001': 1, '0101100101': 1, '1011111011': 2, '0101110111': 2, '0011001101': 3, '0101111001': 4, '0011001011': 3, '0111001011': 1, '0100010011': 1, '0111110111': 2, '1101110011': 1, '0000011101': 1, '0101111011': 3, '0010110001': 1, '0101111110': 1, '0001011101': 5, '0001101011': 1, '1101110001': 1, '0011110011': 5, '0110001011': 3, '0001011010': 1, '0011100101': 1, '1001011101': 1, '1110111101': 1, '1011001001': 1, '1111111110': 3, '0110110001': 1, '0110001111': 5, '1110100011': 1, '1001100011': 2, '0111111101': 2, '1011101111': 3, '0111000111': 2, '0011111110': 1, '1010110111': 1, '0100101111': 1, '0001101110': 2, '1101110101': 1, '0011101111': 2, '1101100011': 1, '0000011011': 1, '0000011111': 5, '0011110101': 1, '1011000011': 1, '0110000101': 2, '0001101101': 2, '0010100101': 1, '1001101101': 1, '0010111101': 1, '1010110101': 1, '0000001110': 3, '1010000101': 1, '0111100001': 2, '1110110001': 1, '0000011100': 1, '1110001011': 2, '1011110101': 1, '0001101001': 1, '0110011101': 1, '0010100011': 1, '0010101110': 1, '0010010101': 1, '0110111111': 1, '1111000011': 2, '1111101111': 1, '0011000101': 1, '1111101101': 1, '1011100001': 2, '0110010011': 1, '0110111101': 1, '1101111001': 1, '0000100111': 1, '0010010011': 2, '0011000110': 2, '1111111011': 1, '1001100001': 1, '0101111111': 2, '1111110001': 2, '1001110110': 1, '1111000101': 1, '1000111111': 1, '0110100011': 1, '0101001111': 1, '0110110110': 1, '1011011001': 1, '1000000011': 1, '1111110101': 1}"
2,0.001,1024,10,(2.561249694973137+0j),0.00040763554944758394,0000000000,0.0,0.0,2.561249694973137,3.5999999999999996,exponential invocations of qdrift channel,Ising,1,1024,1026,1,"{'0000000000': 596, '1111111110': 11, '1111111000': 2, '0000000001': 263, '1111110011': 1, '0000000010': 44, '0101011000': 1, '0000010010': 3, '1111111101': 7, '1111111111': 43, '0000000011': 15, '1111111100': 7, '1111110111': 1, '0001110110': 1, '0000001011': 1, '1111110010': 1, '1111110101': 1, '0000000100': 6, '1111111010': 3, '1111101100': 1, '0000000101': 2, '1111101101': 1, '0000001100': 1, '1111100001': 1, '0000001000': 2, '0000000111': 1, '1111101111': 1, '1111101011': 1, '1111111011': 2, '1111100100': 1, '0000000110': 2, '1110100100': 1}"
2,0.04706816559609244,1024,12,(2.561249694973137+0j),0.019186657544253007,000001001011,0.018310546875,2.444296641570716,0.11695305340242079,3.5999999999999996,exponential invocations of qdrift channel,Ising,1,1024,4098,1,"{'000001010101': 89, '000001011101': 33, '000010000011': 1, '000001010100': 73, '011101111101': 1, '000000101011': 2, '000000110101': 7, '000001000100': 18, '000110110101': 4, '111110110000': 1, '000001101000': 1, '100110000101': 1, '000011000011': 1, '000010010101': 1, '000001001011': 133, '110111000011': 1, '000001010011': 61, '000010010011': 1, '000001001101': 100, '000010010110': 1, '000001001010': 22, '000010001010': 1, '000001010110': 17, '111110100100': 3, '000001010010': 20, '000000100011': 1, '000001110000': 1, '000001001110': 18, '000000111011': 1, '000001001100': 88, '000001101011': 4, '000001010001': 4, '000000110000': 4, '000001011011': 19, '000001000010': 6, '000000101101': 7, '000000110011': 9, '000000101100': 2, '000000110100': 8, '000001000101': 25, '000011001011': 3, '000001000011': 37, '000000101110': 2, '000000110010': 3, '001011000010': 1, '000001011100': 15, '111110100011': 2, '000001001000': 7, '110110011110': 1, '000001000110': 6, '000000001111': 1, '000000111010': 1, '000001010000': 20, '000110111101': 2, '000001011000': 9, '000000010100': 2, '111111001101': 2, '000001101100': 2, '000001100011': 12, '000001000000': 4, '000001110011': 1, '000001001111': 8, '110110101011': 1, '000001000111': 4, '000001100100': 4, '000001100000': 8, '010111001100': 1, '111110100010': 1, '000000010101': 4, '000001100110': 1, '111110111100': 1, '000000100000': 1, '000110100100': 1, '111110100101': 3, '000010010100': 2, '111111001011': 1, '000110111110': 1, '111111010000': 2, '000001000001': 2, '000011001010': 1, '111101110011': 1, '000000101000': 1, '110110111101': 1, '000000001011': 1, '000000011000': 1, '000000100100': 1, '110001000011': 1, '000010100101': 1, '000111001100': 1, '110110110110': 1, '111110100000': 1, '000110101100': 2, '000110110110': 1, '111011001010': 1, '000000011101': 2, '000000000011': 1, '000001011111': 1, '000011001100': 3, '000010000000': 1, '000001011110': 1, '111110010011': 1, '000011000010': 1, '000001101110': 1, '000000011110': 2, '001000011101': 1, '111111000011': 1, '000001011001': 2, '000001100101': 2, '110110110011': 1, '000001101101': 1, '100110101111': 1, '000001011010': 2, '110110110100': 1, '000010100100': 1, '111110111011': 1, '000101000111': 1, '000000011010': 1, '111110110100': 1, '000001101001': 1, '111101100011': 1, '000011000101': 1, '000000110001': 1, '000001001001': 1, '000011001101': 1, '000010011011': 1, '011110110001': 1}"
2,0.052383187212935424,1024,8,(2.561249694973137+0j),0.02135324930136058,00000110,0.0234375,2.8112484839535856,0.2499987889804487,3.5999999999999996,exponential invocations of qdrift channel,Ising,1,1024,258,1,"{'10011100': 2, '00101011': 2, '00000010': 21, '01111010': 4, '10010011': 1, '00001011': 35, '10011101': 1, '11011100': 1, '00000101': 124, '00000110': 279, '00001000': 54, '11011011': 1, '00000100': 106, '00001001': 45, '10011011': 1, '11011110': 1, '00000011': 89, '00001010': 46, '00001100': 12, '10111000': 1, '00011010': 9, '00011001': 4, '00000111': 66, '01111101': 1, '01111011': 2, '00000001': 6, '11110000': 2, '01011001': 1, '00010010': 3, '11111011': 8, '00011011': 8, '00011100': 2, '11111111': 6, '10110011': 1, '01001011': 1, '11101010': 1, '00001101': 3, '00100100': 2, '00001111': 5, '01110101': 2, '00011111': 1, '11111100': 5, '11111010': 9, '11110110': 1, '00010011': 2, '00010100': 3, '00011110': 2, '00100000': 1, '00001110': 2, '01001010': 1, '11011111': 1, '01111100': 1, '00000000': 11, '10011010': 1, '10111010': 1, '01011110': 1, '01111001': 2, '01011100': 1, '10000111': 1, '00010000': 2, '11111110': 3, '01111000': 1, '10110111': 1, '00101001': 1, '00100010': 1, '00101010': 1, '11111001': 2, '00111001': 1, '00101111': 1, '01101011': 1, '00011000': 1, '11101011': 1, '00100110': 1}"
