ham,num_system_qubits,num_ancilla,time,segments,replication_seed,n_circuits,n_shots,depth,size,peak_MB,runtime,exact_eig,most_likely_bs,est_energy_med,est_energy_mean,est_energy_std,est_energy_min,est_energy_max,estimation_error,alpha,counts
ising,2,6,0.0012303916502879625,1,42,100,1,129,151,220.94140625,72.72099249999883,3.1240998703626572,000000,0.0,0.0,0.0,0.0,0.0,3.1240998703626572,4.4,"{""000000"": 100}"
ising,2,6,0.002109491677524035,1,42,100,1,129,151,219.50390625,72.65445949999958,3.1240998703626572,000000,0.0,0.4653953910826105,4.653953910826106,0.0,46.53953910826105,3.1240998703626572,4.4,"{""000000"": 99, ""000001"": 1}"
ising,2,6,0.0009765625,1,42,100,1,129,151,220.9375,72.81210760000067,3.1240998703626572,000000,0.0,0.0,0.0,0.0,0.0,3.1240998703626572,4.4,"{""000000"": 100}"
ising,2,6,0.0018083490474361146,1,42,100,1,129,151,219.375,72.70435560000078,3.1240998703626572,000000,0.0,0.0,0.0,0.0,0.0,3.1240998703626572,4.4,"{""000000"": 100}"
ising,2,6,0.0013288964845452902,1,42,100,1,129,151,220.48828125,72.84774330000073,3.1240998703626572,000000,0.0,0.0,0.0,0.0,0.0,3.1240998703626572,4.4,"{""000000"": 100}"
ising,2,6,0.0016743046540099089,1,42,100,1,129,151,217.69140625,72.86793380000017,3.1240998703626572,000000,0.0,0.0,0.0,0.0,0.0,3.1240998703626572,4.4,"{""000000"": 100}"
ising,2,6,0.0010547458387620175,1,42,100,1,129,151,218.734375,73.07503159999942,3.1240998703626572,000000,0.0,0.0,0.0,0.0,0.0,3.1240998703626572,4.4,"{""000000"": 100}"
ising,2,6,0.001953125,1,42,100,1,129,151,218.52734375,73.01126950000071,3.1240998703626572,000000,0.0,0.5026548245743669,5.026548245743669,0.0,50.26548245743669,3.1240998703626572,4.4,"{""000000"": 99, ""000001"": 1}"
ising,2,6,0.0015501963398126943,1,42,100,1,129,151,219.18359375,73.16129849999925,3.1240998703626572,000000,0.0,0.0,0.0,0.0,0.0,3.1240998703626572,4.4,"{""000000"": 100}"
ising,2,6,0.0011391885152110507,1,42,100,1,129,151,219.42578125,73.32291820000137,3.1240998703626572,000000,0.0,0.0,0.0,0.0,0.0,3.1240998703626572,4.4,"{""000000"": 100}"
ising,2,6,0.0014352875901128893,1,42,100,1,129,151,219.5703125,73.36866480000026,3.1240998703626572,000000,0.0,0.0,0.0,0.0,0.0,3.1240998703626572,4.4,"{""000000"": 100}"
ising,2,6,0.0031003926796253885,1,42,100,1,129,151,222.03125,68.11909860000014,3.1240998703626572,000000,0.0,0.6333053943124599,4.45547108924168,0.0,31.665269715622994,3.1240998703626572,4.4,"{""000000"": 98, ""000001"": 2}"
