ham,exact_eig,num_system_qubits,num_ancilla,alpha,replication_seed,n_circuits,n_shots,time,segments,most_likely_bs,est_energy_med,est_energy_mean,est_energy_std,estimation_error,max_theoretical_qdrift_error,peak_MB,runtime,top10_py_allocs,counts
1 qubit test,0.8385164807134509,1,8,1.0,42,10,1,0.04999999999999999,1,00000010,0.9817477042468106,1.0308350894591511,0.14726215563702158,0.1432312235333597,0.11051709180756472,326.96484375,24.230835299999853,,"{""00000010"": 9, ""00000011"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,10,10,0.04999999999999999,1,00000010,0.9817477042468106,0.9817477042468106,0.0,0.1432312235333597,0.11051709180756472,333.4453125,26.89776139999958,,"{""00000010"": 10}"
1 qubit test,0.8385164807134509,1,8,1.0,42,10,100,0.04999999999999999,1,00000010,0.9817477042468106,0.9817477042468106,0.0,0.1432312235333597,0.11051709180756472,334.2421875,29.428874399999586,,"{""00000010"": 10}"
1 qubit test,0.8385164807134509,1,8,1.0,42,10,1,0.07755292588389928,1,00000011,0.9494300437966748,1.2026113888091214,0.8228393712904515,0.11091356308322398,0.18112975452067123,344.75390625,7.040890000000218,,"{""00000001"": 1, ""00000010"": 1, ""00000011"": 5, ""00000100"": 1, ""00000101"": 1, ""00001011"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,10,10,0.07755292588389928,1,00000011,0.9494300437966748,0.9810777119232308,0.09494300437966749,0.11091356308322398,0.18112975452067123,347.5703125,7.747888500000045,,"{""00000011"": 9, ""00000100"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,10,100,0.07755292588389928,1,00000011,0.9494300437966748,0.9494300437966748,0.0,0.11091356308322398,0.18112975452067123,371.55078125,12.118927900000017,,"{""00000011"": 10}"
1 qubit test,0.8385164807134509,1,8,1.0,42,100,1,0.07755292588389928,1,00000011,0.9494300437966748,0.9525948106093292,0.47046576567861575,0.11091356308322398,0.18112975452067123,703.125,94.64960070000052,,"{""00000000"": 1, ""00000001"": 1, ""00000010"": 21, ""00000011"": 66, ""00000100"": 4, ""00000101"": 3, ""00001000"": 1, ""00001010"": 1, ""00001100"": 1, ""11111111"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,100,1,0.04999999999999999,1,00000010,0.9817477042468106,0.6823146544515343,1.9349335713101286,0.1432312235333597,0.11051709180756472,662.00390625,176.80518419999953,,"{""00000001"": 15, ""00000010"": 75, ""00000011"": 2, ""00000101"": 1, ""00001000"": 1, ""11011100"": 1, ""11111011"": 1, ""11111111"": 4}"
1 qubit test,0.8385164807134509,1,8,1.0,42,100,10,0.04999999999999999,1,00000010,0.9817477042468106,0.9768389657255788,0.048841331606692094,0.1432312235333597,0.11051709180756472,668.16015625,189.8616622999998,,"{""00000001"": 1, ""00000010"": 99}"
1 qubit test,0.8385164807134509,1,8,1.0,42,100,100,0.04999999999999999,1,00000010,0.9817477042468106,0.981747704246813,2.4424906541753444e-15,0.1432312235333597,0.11051709180756472,668.8671875,205.26535980000062,,"{""00000010"": 100}"
1 qubit test,0.8385164807134509,1,8,1.0,42,100,10,0.07755292588389928,1,00000011,0.9494300437966748,0.9241119092954311,0.085857971372295,0.11091356308322398,0.18112975452067123,787.9921875,88.38022230000024,,"{""00000010"": 8, ""00000011"": 92}"
1 qubit test,0.8385164807134509,1,8,1.0,42,100,100,0.07755292588389928,1,00000011,0.9494300437966748,0.9494300437966767,1.887379141862766e-15,0.11091356308322398,0.18112975452067123,756.61328125,177.74178219999976,,"{""00000011"": 100}"
1 qubit test,0.8385164807134509,1,8,1.0,42,1000,1,0.04999999999999999,1,00000010,0.9817477042468106,0.8393942871310238,0.46720773960514045,0.1432312235333597,0.11051709180756472,778.7109375,1055.8006365,,"{""00000000"": 3, ""00000001"": 13, ""00000010"": 77, ""00000011"": 4, ""11111100"": 1, ""11111101"": 1, ""11111111"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,1000,10,0.04999999999999999,1,00000010,0.9817477042468106,0.981747704246813,2.4424906541753444e-15,0.1432312235333597,0.11051709180756472,792.35546875,1170.0670338,,"{""00000010"": 100}"
1 qubit test,0.8385164807134509,1,8,1.0,42,1000,1,0.07755292588389928,1,00000011,0.9494300437966748,1.0190549136750975,1.1871714843512124,0.11091356308322398,0.18112975452067123,858.20703125,1002.8399036000001,,"{""00000001"": 5, ""00000010"": 18, ""00000011"": 61, ""00000100"": 5, ""00000101"": 2, ""00000110"": 1, ""00000111"": 2, ""00001000"": 1, ""00010001"": 1, ""00100010"": 1, ""11111011"": 1, ""11111100"": 1, ""11111110"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,10,1,0.12028912626307157,1,00000100,0.8161566508511618,1.1222153949203473,1.1515114243762803,0.022359829862289016,0.3060118000544405,722.1328125,9.848862599999848,,"{""00000000"": 1, ""00000100"": 7, ""00000101"": 1, ""00010110"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,10,10,0.12028912626307157,1,00000100,0.8161566508511618,0.8365605671224408,0.06121174881383716,0.022359829862289016,0.3060118000544405,727.60546875,12.423732199999904,,"{""00000100"": 9, ""00000101"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,10,100,0.12028912626307157,1,00000100,0.8161566508511618,0.816156650851162,1.1102230246251565e-16,0.022359829862289016,0.3060118000544405,731.92578125,17.339290699999765,,"{""00000100"": 10}"
1 qubit test,0.8385164807134509,1,8,1.0,42,1000,10,0.07755292588389928,1,00000011,0.9494300437966748,0.914617608857464,0.09902231187938385,0.11091356308322398,0.18112975452067123,865.84375,1091.9319706999995,,"{""00000010"": 11, ""00000011"": 89}"
1 qubit test,0.8385164807134509,1,8,1.0,42,100,1,0.12028912626307157,1,00000100,0.8161566508511618,1.0426401214623595,2.2488587091209067,0.022359829862289016,0.3060118000544405,736.55078125,112.05981260000044,,"{""00000000"": 1, ""00000001"": 3, ""00000011"": 8, ""00000100"": 63, ""00000101"": 13, ""00000110"": 1, ""00000111"": 1, ""00001001"": 2, ""00001101"": 1, ""00011000"": 1, ""01101111"": 1, ""11111100"": 2, ""11111110"": 1, ""11111111"": 2}"
1 qubit test,0.8385164807134509,1,8,1.0,42,100,10,0.12028912626307157,1,00000100,0.8161566508511618,0.8365605671224405,0.13064881081517735,0.022359829862289016,0.3060118000544405,828.2109375,118.35810109999966,,"{""00000100"": 96, ""00000101"": 2, ""00000110"": 1, ""00001010"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,100,100,0.12028912626307157,1,00000100,0.8161566508511618,0.8181970424782891,0.02030164035769801,0.022359829862289016,0.3060118000544405,816.73828125,201.5485375999997,,"{""00000100"": 99, ""00000101"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,1000,100,0.04999999999999999,1,00000010,0.9817477042468106,0.981747704246813,2.4424906541753444e-15,0.1432312235333597,0.11051709180756472,791.7578125,1788.6344335000003,,"{""00000010"": 100}"
1 qubit test,0.8385164807134509,1,8,1.0,42,1000,100,0.07755292588389928,1,00000011,0.9494300437966748,0.9494300437966767,1.887379141862766e-15,0.11091356308322398,0.18112975452067123,866.9453125,1701.4998044000004,,"{""00000011"": 100}"
1 qubit test,0.8385164807134509,1,8,1.0,42,1000,1,0.12028912626307157,1,00000100,0.8161566508511618,0.9610244563772438,2.129702683762404,0.022359829862289016,0.3060118000544405,865.67578125,1055.5569238999988,,"{""00000000"": 1, ""00000001"": 1, ""00000010"": 1, ""00000011"": 6, ""00000100"": 65, ""00000101"": 8, ""00000110"": 7, ""00000111"": 1, ""00001000"": 1, ""00001100"": 1, ""00011111"": 1, ""00101110"": 1, ""01000100"": 1, ""11000100"": 1, ""11111111"": 4}"
1 qubit test,0.8385164807134509,1,8,1.0,42,1000,10,0.12028912626307157,1,00000100,0.8161566508511618,0.8181970424782891,0.02030164035769801,0.022359829862289016,0.3060118000544405,867.12109375,1076.4974030999992,,"{""00000100"": 99, ""00000101"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,1000,100,0.12028912626307157,1,00000100,0.8161566508511618,0.8161566508511611,7.771561172376096e-16,0.022359829862289016,0.3060118000544405,844.90625,1694.7378615999996,,"{""00000100"": 100}"
1 qubit test,0.8385164807134509,1,8,1.0,42,10,1,0.18657547387437995,1,00000111,0.9208383324748652,0.9866124990802128,0.25811646845265684,0.08232185176141438,0.5419284443247226,778.34375,10.795809599998393,,"{""00000110"": 3, ""00000111"": 4, ""00001000"": 2, ""00001101"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,10,10,0.18657547387437995,1,00000110,0.7892899992641702,0.8287544992273788,0.060283019448328326,0.04922648144928066,0.5419284443247226,773.4296875,11.057364899999811,,"{""00000110"": 7, ""00000111"": 3}"
1 qubit test,0.8385164807134509,1,8,1.0,42,10,100,0.18657547387437995,1,00000110,0.7892899992641702,0.8287544992273788,0.060283019448328326,0.04922648144928066,0.5419284443247226,774.515625,20.194975899999918,,"{""00000110"": 7, ""00000111"": 3}"
1 qubit test,0.8385164807134509,1,8,1.0,42,100,1,0.18657547387437995,1,00000110,0.7892899992641702,0.9247847824711859,2.56498707160122,0.04922648144928066,0.5419284443247226,737.03125,98.49145839999983,,"{""00000000"": 1, ""00000001"": 1, ""00000010"": 4, ""00000100"": 3, ""00000101"": 10, ""00000110"": 38, ""00000111"": 20, ""00001000"": 6, ""00001001"": 2, ""00001100"": 1, ""00001110"": 1, ""00001111"": 1, ""00010000"": 1, ""00010001"": 1, ""00010010"": 1, ""00010100"": 1, ""00011111"": 1, ""01011101"": 1, ""01111110"": 1, ""10100111"": 1, ""10111101"": 1, ""11111101"": 2, ""11111110"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,100,10,0.18657547387437995,1,00000110,0.7892899992641702,0.8682189991905858,0.17352416923498284,0.04922648144928066,0.5419284443247226,820.37109375,110.02786800000104,,"{""00000101"": 1, ""00000110"": 63, ""00000111"": 24, ""00001000"": 10, ""00001110"": 1, ""00001111"": 1}"
1 qubit test,0.8385164807134509,1,8,1.0,42,100,100,0.18657547387437995,1,00000110,0.7892899992641702,0.8432248158805539,0.07227979401393991,0.04922648144928066,0.5419284443247226,802.453125,169.55299529999866,,"{""00000110"": 61, ""00000111"": 38, ""00001001"": 1}"
