Num Qubits,Time,Shots,Num Ancilla,Exact Eigenvalue,Expected Phase,Most Probable Bitstring,Estimated Phase,Estimated Eigenvalue,Eigenvalue Error,Alpha,QDRIFT Implementation,type of Hamiltonian,Num Random Circuits,Num Shots per Circuit,Circuit Depth,qDRIFT samples per invocation of qDRIFT channelRaw results
2,0.0001,1000,8,(2.561249694973137+0j),4.076355494475839e-05,00000000,0.0,0.0,2.561249694973137,3.5999999999999996,exponential invocations of qdrift channel,Ising,1000,1,258,1,{'00000000': 1000}
2,0.0001,1000,8,(2.561249694973137+0j),4.076355494475839e-05,00000000,0.0,0.0,2.561249694973137,3.5999999999999996,exponential invocations of qdrift channel,Ising,1000,1,258,1,{'00000000': 1000}
2,0.007663410868007463,1000,8,(2.561249694973137+0j),0.003123878699822808,00000001,0.00390625,3.202711302956901,0.6414616079837643,3.5999999999999996,exponential invocations of qdrift channel,Ising,1000,1,258,1,"{'00000001': 857, '00000000': 66, '00000101': 4, '00010000': 1, '00000011': 8, '11111111': 16, '10110001': 1, '00000010': 21, '11110011': 1, '00000111': 4, '11111101': 5, '00000100': 5, '00001100': 1, '11111110': 4, '00001110': 1, '10001011': 1, '00001000': 1, '11110110': 1, '11111000': 1, '11110101': 1}"
