ham,num_system_qubits,num_ancilla,time,segments,replication_seed,n_circuits,n_shots,depth,size,peak_MB,runtime,exact_eig,most_likely_bs,est_energy_med,est_energy_mean,est_energy_std,est_energy_min,est_energy_max,estimation_error,alpha,counts
exact_ham_exact_qdritf,2,10,6.187500000000001,1,42,1,1024,4113,4168,217.640625,10.140895040996838,0.7853981633974483,1100011000,-0.23006612867197979,-0.23006612867197979,0.0,-0.23006612867197979,-0.23006612867197979,1.0154642920694281,0.7853981633974483,"{""1100011000"": 1024}"
exact_ham_exact_qdritf,2,10,6.203125,1,42,1,1024,4113,4168,218.34375,10.251045292003255,0.7853981633974483,1100011010,-0.2275082841075732,-0.2275082841075732,0.0,-0.2275082841075732,-0.2275082841075732,1.0129064475050216,0.7853981633974483,"{""1100011010"": 1024}"
exact_ham_exact_qdritf,2,10,4.9609375,1,42,1,1024,4113,4168,248.4375,10.53257954199944,0.7853981633974483,1001111011,-0.4811336780497754,-0.4811336780497754,0.0,-0.4811336780497754,-0.4811336780497754,1.2665318414472237,0.7853981633974483,"{""1001111011"": 1024}"
exact_ham_exact_qdritf,2,10,6.445312500000001,1,42,1,1024,4113,4168,249.984375,10.560221042003832,0.7853981633974483,1100111001,-0.18944755698920265,-0.18944755698920265,0.0,-0.18944755698920265,-0.18944755698920265,0.974845720386651,0.7853981633974483,"{""1100111001"": 1024}"
exact_ham_exact_qdritf,2,10,5.375,1,42,1,1024,4113,4168,258.875,10.135404499997094,0.7853981633974483,1010110000,-0.3835665449150329,-0.3835665449150329,0.0,-0.3835665449150329,-0.3835665449150329,1.1689647083124812,0.7853981633974483,"{""1010110000"": 1024}"
exact_ham_exact_qdritf,2,10,7.515625,1,42,1,1024,4113,4168,261.515625,10.10219325000071,0.7853981633974483,1111000010,-0.050618176850978996,-0.050618176850978996,0.0,-0.050618176850978996,-0.050618176850978996,0.8360163402484273,0.7853981633974483,"{""1111000010"": 1024}"
exact_ham_exact_qdritf,2,10,1.1640625,1,42,1,1024,4113,4168,282.9375,10.034912457995233,0.7853981633974483,0010010101,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,"{""0010010101"": 1024}"
exact_ham_exact_qdritf,2,10,0.5,1,42,1,1024,4113,4168,285.515625,9.925306000004639,0.7853981633974483,0001000000,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,"{""0001000000"": 1024}"
exact_ham_exact_qdritf,2,10,3.4218750000000004,1,42,1,1024,4113,4168,305.078125,10.7612980000049,0.7853981633974483,0110110110,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,"{""0110110110"": 1024}"
exact_ham_exact_qdritf,2,10,6.843750000000001,1,42,1,1024,4113,4168,306.515625,10.709214124995924,0.7853981633974483,1101101100,-0.1326928403913497,-0.1326928403913497,0.0,-0.1326928403913497,-0.1326928403913497,0.9180910037887979,0.7853981633974483,"{""1101101100"": 1024}"
