ham,num_system_qubits,num_ancilla,time,segments,replication_seed,n_circuits,n_shots,depth,size,peak_MB,runtime,exact_eig,most_likely_bs,est_energy_med,est_energy_mean,est_energy_std,est_energy_min,est_energy_max,estimation_error,alpha,counts
exact_ham_exact_qdritf,2,10,5.4765625,1,42,1,1024,4113,4168,206.453125,15.612538542001857,0.7853981633974483,1010111101,-0.36188816943990837,-0.36188816943990837,0.0,-0.36188816943990837,-0.36188816943990837,1.1472863328373566,0.7853981633974483,"{""1010111101"": 1024}"
exact_ham_exact_qdritf,2,10,3.0625,1,42,1,1024,4113,4168,201.8125,15.730021541006863,0.7853981633974483,0110001000,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,"{""0110001000"": 1024}"
exact_ham_exact_qdritf,2,10,3.9765625,1,42,1,1024,4113,4168,205.015625,15.736385499985772,0.7853981633974483,0111111101,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,"{""0111111101"": 1024}"
exact_ham_exact_qdritf,2,10,6.0,1,42,1,1024,4113,4168,203.21875,15.850933167006588,0.7853981633974483,1100000000,-0.2617993877991494,-0.2617993877991494,0.0,-0.2617993877991494,-0.2617993877991494,1.0471975511965976,0.7853981633974483,"{""1100000000"": 1024}"
exact_ham_exact_qdritf,2,10,1.7109375000000002,1,42,1,1024,4113,4168,218.984375,16.366692499999772,0.7853981633974483,0011011011,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,"{""0011011011"": 1024}"
exact_ham_exact_qdritf,2,10,4.5390625,1,42,1,1024,4113,4168,221.390625,16.5554806250002,0.7853981633974483,1001000101,-0.5988492020397067,-0.5988492020397067,0.0,-0.5988492020397067,-0.5988492020397067,1.384247365437155,0.7853981633974483,"{""1001000101"": 1024}"
exact_ham_exact_qdritf,2,10,4.7265625,1,42,1,1024,4113,4168,220.453125,16.71816795800987,0.7853981633974483,1001011101,-0.5439369098570758,-0.5439369098570758,0.0,-0.5439369098570758,-0.5439369098570758,1.3293350732545242,0.7853981633974483,"{""1001011101"": 1024}"
exact_ham_exact_qdritf,2,10,1.09375,1,42,1,1024,4113,4168,228.1875,16.593262209004024,0.7853981633974483,0010001100,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,"{""0010001100"": 1024}"
exact_ham_exact_qdritf,2,10,2.1015625,1,42,1,1024,4113,4168,230.015625,9.684889792013564,0.7853981633974483,0100001101,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,"{""0100001101"": 1024}"
exact_ham_exact_qdritf,2,10,6.625,1,42,1,1024,4113,4168,234.703125,9.526783332999912,0.7853981633974483,1101010000,-0.16300716598814963,-0.16300716598814963,0.0,-0.16300716598814963,-0.16300716598814963,0.9484053293855979,0.7853981633974483,"{""1101010000"": 1024}"
exact_ham_exact_qdritf,2,10,1.40625,1,42,1,1024,221.15625,17.809307999996236,0.7853981633974483,0010110100,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,15.797902081181782,"{""0010110100"": 1024}"
exact_ham_exact_qdritf,2,10,3.0,1,42,1,1024,219.625,17.86089920901577,0.7853981633974483,0110000000,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,411.99841368861564,"{""0110000000"": 1024}"
